County,Advance
Appling,2942
Atkinson,857
Bacon,2308
Baker,549
Baldwin,7735
Banks,3539
Barrow,11330
Bartow,15842
Ben Hill,3035
Berrien,2487
Bibb,15885
Bleckley,2337
Brantley,2317
Brooks,2186
Bryan,8946
Bulloch,8491
Burke,3405
Butts,5608
Calhoun,726
Camden,8083
Candler,2000
Carroll,17522
Catoosa,10808
Charlton,1518
Chatham,30023
Chattahoochee,408
Chattooga,3013
Cherokee,36780
Clarke,19953
Clay,553
Clayton,40650
Clinch,940
Cobb,146404
Coffee,5901
Colquitt,4679
Columbia,19921
Cook,2509
Coweta,14661
Crawford,2208
Crisp,3003
Dade,1998
Dawson,7125
Decatur,3928
DeKalb,153727
Dodge,2655
Dooly,1420
Dougherty,9826
Douglas,30092
Early,1672
Echols,545
Effingham,7004
Elbert,3041
Emanuel,2850
Evans,1745
Fannin,3961
Fayette,23897
Floyd,10351
Forsyth,49464
Franklin,3481
Fulton,187940
Gilmer,5360
Glascock,534
Glynn,15469
Gordon,7252
Grady,3291
Greene,5917
Gwinnett,129239
Habersham,9374
Hall,34341
Hancock,1634
Haralson,3868
Harris,6117
Hart,4961
Heard,1402
Henry,44570
Houston,29869
Irwin,1545
Jackson,13560
Jasper,2595
Jeff Davis,1854
Jefferson,2590
Jenkins,1271
Johnson,1824
Jones,4301
Lamar,3072
Lanier,1348
Laurens,5538
Lee,5426
Liberty,8614
Lincoln,1811
Long,1927
Lowndes,17787
Lumpkin,6804
Macon,1994
Madison,4876
Marion,1175
McDuffie,4677
McIntosh,2989
Meriwether,2840
Miller,976
Mitchell,2869
Monroe,6115
Montgomery,1092
Morgan,5191
Murray,4118
Muscogee,30450
Newton,14970
Oconee,11772
Oglethorpe,3279
Paulding,29207
Peach,5526
Pickens,5675
Pierce,3978
Pike,3921
Polk,6392
Pulaski,1912
Putnam,4387
Quitman,437
Rabun,4688
Randolph,1181
Richmond,29390
Rockdale,18334
Schley,913
Screven,2207
Seminole,979
Spalding,7414
Stephens,5317
Stewart,654
Sumter,4063
Talbot,985
Taliaferro,326
Tattnall,3055
Taylor,1294
Telfair,1382
Terrell,1489
Thomas,8660
Tift,6207
Toombs,3757
Towns,3997
Treutlen,1237
Troup,8778
Turner,1672
Twiggs,1217
Union,5203
Upson,4862
Walker,7251
Walton,18911
Ware,4153
Warren,1115
Washington,3450
Wayne,4375
Webster,496
Wheeler,826
White,5031
Whitfield,7911
Wilcox,880
Wilkes,1836
Wilkinson,1197
Worth,2486
