County,Mail,Advance
Appling,313,2942
Atkinson,49,857
Bacon,103,2308
Baker,86,549
Baldwin,748,7735
Banks,227,3539
Barrow,1046,11330
Bartow,1453,15842
Ben Hill,145,3035
Berrien,209,2487
Bibb,3250,15885
Bleckley,218,2337
Brantley,118,2317
Brooks,172,2186
Bryan,463,8946
Bulloch,954,8491
Burke,410,3405
Butts,290,5608
Calhoun,109,726
Camden,834,8083
Candler,87,2000
Carroll,1223,17522
Catoosa,652,10808
Charlton,111,1518
Chatham,5848,30023
Chattahoochee,47,408
Chattooga,194,3013
Cherokee,5423,36780
Clarke,2317,19953
Clay,65,553
Clayton,2477,40650
Clinch,37,940
Cobb,13294,146404
Coffee,280,5901
Colquitt,389,4679
Columbia,2568,19921
Cook,222,2509
Coweta,2309,14661
Crawford,131,2208
Crisp,317,3003
Dade,126,1998
Dawson,467,7125
Decatur,379,3928
DeKalb,11329,153727
Dodge,308,2655
Dooly,136,1420
Dougherty,1149,9826
Douglas,1681,30092
Early,174,1672
Echols,20,545
Effingham,713,7004
Elbert,290,3041
Emanuel,223,2850
Evans,243,1745
Fannin,677,3961
Fayette,2029,23897
Floyd,1128,10351
Forsyth,4140,49464
Franklin,267,3481
Fulton,11370,187940
Gilmer,639,5360
Glascock,56,534
Glynn,1559,15469
Gordon,579,7252
Grady,373,3291
Greene,550,5917
Gwinnett,11516,129239
Habersham,784,9374
Hall,3783,34341
Hancock,376,1634
Haralson,356,3868
Harris,605,6117
Hart,310,4961
Heard,283,1402
Henry,1959,44570
Houston,2446,29869
Irwin,84,1545
Jackson,1034,13560
Jasper,239,2595
Jeff Davis,111,1854
Jefferson,378,2590
Jenkins,94,1271
Johnson,147,1824
Jones,644,4301
Lamar,300,3072
Lanier,50,1348
Laurens,864,5538
Lee,313,5426
Liberty,833,8614
Lincoln,205,1811
Long,76,1927
Lowndes,742,17787
Lumpkin,494,6804
Macon,185,1994
Madison,466,4876
Marion,160,1175
McDuffie,551,4677
McIntosh,326,2989
Meriwether,390,2840
Miller,84,976
Mitchell,493,2869
Monroe,453,6115
Montgomery,94,1092
Morgan,341,5191
Murray,191,4118
Muscogee,3545,30450
Newton,2011,14970
Oconee,833,11772
Oglethorpe,367,3279
Paulding,3547,29207
Peach,356,5526
Pickens,401,5675
Pierce,209,3978
Pike,288,3921
Polk,367,6392
Pulaski,218,1912
Putnam,477,4387
Quitman,37,437
Rabun,658,4688
Randolph,144,1181
Richmond,2772,29390
Rockdale,1564,18334
Schley,77,913
Screven,107,2207
Seminole,76,979
Spalding,1178,7414
Stephens,474,5317
Stewart,102,654
Sumter,655,4063
Talbot,182,985
Taliaferro,72,326
Tattnall,222,3055
Taylor,50,1294
Telfair,157,1382
Terrell,242,1489
Thomas,545,8660
Tift,333,6207
Toombs,405,3757
Towns,431,3997
Treutlen,106,1237
Troup,982,8778
Turner,55,1672
Twiggs,296,1217
Union,645,5203
Upson,465,4862
Walker,831,7251
Walton,1460,18911
Ware,531,4153
Warren,142,1115
Washington,465,3450
Wayne,351,4375
Webster,95,496
Wheeler,68,826
White,563,5031
Whitfield,811,7911
Wilcox,94,880
Wilkes,177,1836
Wilkinson,164,1197
Worth,222,2486
