County,Mail
Appling,350
Atkinson,56
Bacon,106
Baker,88
Baldwin,837
Banks,277
Barrow,1127
Bartow,1557
Ben Hill,154
Berrien,229
Bibb,3434
Bleckley,240
Brantley,133
Brooks,172
Bryan,501
Bulloch,1015
Burke,408
Butts,343
Calhoun,113
Camden,865
Candler,116
Carroll,1334
Catoosa,729
Charlton,115
Chatham,6282
Chattahoochee,50
Chattooga,204
Cherokee,6014
Clarke,2605
Clay,65
Clayton,2834
Clinch,39
Cobb,14013
Coffee,294
Colquitt,421
Columbia,2718
Cook,240
Coweta,2736
Crawford,130
Crisp,341
Dade,127
Dawson,502
Decatur,404
DeKalb,12304
Dodge,351
Dooly,145
Dougherty,1219
Douglas,1988
Early,197
Echols,20
Effingham,752
Elbert,317
Emanuel,254
Evans,251
Fannin,737
Fayette,2448
Floyd,1232
Forsyth,4424
Franklin,321
Fulton,12975
Gilmer,684
Glascock,62
Glynn,1543
Gordon,602
Grady,437
Greene,586
Gwinnett,12268
Habersham,812
Hall,4025
Hancock,414
Haralson,410
Harris,712
Hart,332
Heard,308
Henry,2531
Houston,2836
Irwin,88
Jackson,1154
Jasper,254
Jeff Davis,119
Jefferson,445
Jenkins,99
Johnson,156
Jones,700
Lamar,333
Lanier,58
Laurens,1056
Lee,348
Liberty,911
Lincoln,226
Long,89
Lowndes,1027
Lumpkin,528
Macon,194
Madison,550
Marion,182
McDuffie,592
McIntosh,339
Meriwether,421
Miller,93
Mitchell,519
Monroe,496
Montgomery,104
Morgan,366
Murray,203
Muscogee,3837
Newton,2406
Oconee,891
Oglethorpe,401
Paulding,3919
Peach,426
Pickens,492
Pierce,242
Pike,351
Polk,414
Pulaski,233
Putnam,604
Quitman,39
Rabun,666
Randolph,152
Richmond,3254
Rockdale,1704
Schley,84
Screven,122
Seminole,87
Spalding,1347
Stephens,501
Stewart,118
Sumter,715
Talbot,193
Taliaferro,79
Tattnall,250
Taylor,109
Telfair,187
Terrell,249
Thomas,612
Tift,340
Toombs,450
Towns,484
Treutlen,117
Troup,1082
Turner,62
Twiggs,311
Union,705
Upson,527
Walker,905
Walton,1589
Ware,603
Warren,153
Washington,550
Wayne,393
Webster,111
Wheeler,77
White,601
Whitfield,867
Wilcox,104
Wilkes,276
Wilkinson,184
Worth,239
