Counties,Election Day Votes,Absentee by Mail Votes,Advance Voting Votes,Provisional Votes,Total
Appling,2569,224,2550,1,5344
Atkinson,866,33,807,3,1709
Bacon,829,74,2301,0,3204
Baker,352,35,322,2,711
Baldwin,2717,296,4403,0,7416
Banks,2275,195,3887,5,6362
Barrow,8934,668,10531,3,20136
Bartow,13580,973,14783,25,29361
Ben Hill,900,67,2266,2,3235
Berrien,2337,166,2498,1,5002
Bibb,10647,1026,8511,19,20203
Bleckley,1397,140,2137,1,3675
Brantley,2598,96,2581,0,5275
Brooks,1912,77,1532,7,3528
Bryan,3901,247,6995,0,11143
Bulloch,7780,481,6580,17,14858
Burke,2440,142,1877,3,4462
Butts,1661,195,4926,2,6784
Calhoun,336,29,359,0,724
Camden,4955,333,6407,3,11698
Candler,735,51,1764,2,2552
Carroll,15048,651,14133,6,29838
Catoosa,7509,416,10623,14,18562
Charlton,1260,60,1227,5,2552
Chatham,22096,1913,17169,11,41189
Chattahoochee,288,17,233,0,538
Chattooga,2848,160,2969,0,5977
Cherokee,32401,3506,44885,19,80811
Clarke,4459,832,5514,5,10810
Clay,173,25,329,1,528
Clayton,3188,590,5662,10,9450
Clinch,735,33,862,0,1630
Cobb,48891,7693,69114,97,125795
Coffee,3309,162,4971,5,8447
Colquitt,4847,256,4286,1,9390
Columbia,18774,1297,20088,13,40172
Cook,1626,124,2194,0,3944
Coweta,18955,1491,21058,8,41512
Crawford,1645,116,1677,2,3440
Crisp,1418,195,2444,1,4058
Dade,2570,93,2032,3,4698
Dawson,3583,368,7233,1,11185
Decatur,2264,212,2952,5,5433
DeKalb,17130,2556,22243,22,41951
Dodge,2559,192,2143,1,4895
Dooly,782,55,947,0,1784
Dougherty,4641,328,2783,3,7755
Douglas,5888,683,11016,2,17589
Early,943,77,1185,4,2209
Echols,334,31,571,1,937
Effingham,9286,362,8574,9,18231
Elbert,2533,156,2440,6,5135
Emanuel,2983,169,2170,7,5329
Evans,770,125,1419,0,2314
Fannin,4952,540,4530,14,10036
Fayette,10865,1179,18125,9,30178
Floyd,11091,709,10094,29,21923
Forsyth,21319,2350,42298,46,66013
Franklin,3609,264,3501,0,7374
Fulton,32005,3863,66797,93,102758
Gilmer,5169,452,5528,10,11159
Glascock,540,46,585,0,1171
Glynn,7072,795,12842,26,20735
Gordon,7824,403,6717,11,14955
Grady,2814,183,2638,3,5638
Greene,1776,306,4658,1,6741
Gwinnett,47653,5853,61468,50,115024
Habersham,3993,568,8941,7,13509
Hall,18102,2315,31218,8,51643
Hancock,385,62,542,0,989
Haralson,5320,326,4143,0,9789
Harris,6393,431,5245,3,12072
Hart,3589,245,4145,0,7979
Heard,2073,203,1396,1,3673
Henry,11400,1092,20318,9,32819
Houston,11028,1282,19918,11,32239
Irwin,1123,60,1417,1,2601
Jackson,8870,721,14783,5,24379
Jasper,2317,164,2464,6,4951
Jeff Davis,1871,74,1792,1,3738
Jefferson,1578,123,1339,1,3041
Jenkins,766,75,983,2,1826
Johnson,1105,107,1272,0,2484
Jones,3693,298,4098,0,8089
Lamar,2486,154,2771,5,5416
Lanier,719,35,1106,0,1860
Laurens,6718,490,4856,9,12073
Lee,4598,193,4742,2,9535
Liberty,2203,202,3085,0,5490
Lincoln,1274,94,1478,1,2847
Long,1331,53,1374,1,2759
Lowndes,7805,493,11865,50,20213
Lumpkin,3148,333,6280,4,9765
Macon,524,37,899,0,1460
Madison,4433,341,4571,8,9353
Marion,950,54,746,0,1750
McDuffie,1613,219,3235,0,5067
McIntosh,1186,154,2004,0,3344
Meriwether,2955,171,2209,1,5336
Miller,659,80,878,0,1617
Mitchell,2053,168,1763,2,3986
Monroe,4454,201,5014,4,9673
Montgomery,1418,58,974,0,2450
Morgan,2967,186,4162,7,7322
Murray,5214,166,4357,0,9737
Muscogee,9546,1171,10778,1,21496
Newton,9339,770,7437,3,17549
Oconee,4357,508,9815,1,14681
Oglethorpe,1692,228,2718,0,4638
Paulding,14674,1613,24375,27,40689
Peach,1650,130,3369,7,5156
Pickens,5263,330,6455,2,12050
Pierce,2053,185,4087,0,6325
Pike,3398,194,4355,1,7948
Polk,3837,273,6288,28,10426
Pulaski,655,102,1562,0,2319
Putnam,2536,328,4298,2,7164
Quitman,186,20,305,0,511
Rabun,1396,416,4368,0,6180
Randolph,492,37,628,1,1158
Richmond,11094,884,7510,3,19491
Rockdale,3318,426,4971,7,8722
Schley,501,44,922,0,1467
Screven,1531,73,1599,0,3203
Seminole,1257,63,831,1,2152
Spalding,5878,568,7514,6,13966
Stephens,1873,324,5177,0,7374
Stewart,277,35,320,6,638
Sumter,1986,180,2420,4,4590
Talbot,634,39,445,0,1118
Taliaferro,134,14,162,0,310
Tattnall,2053,142,2670,1,4866
Taylor,659,70,1285,6,2020
Telfair,1120,102,1118,0,2340
Terrell,886,77,732,0,1695
Thomas,3870,280,6326,5,10481
Tift,3601,186,5129,5,8921
Toombs,2305,251,3740,2,6298
Towns,1539,275,3751,3,5568
Treutlen,644,58,1017,2,1721
Troup,6870,508,6549,10,13937
Turner,628,30,1231,3,1892
Twiggs,1069,51,766,0,1886
Union,4603,410,6170,3,11186
Upson,2197,248,4239,1,6685
Walker,8060,562,8431,11,17064
Walton,13332,924,16291,6,30553
Ware,3410,331,3822,4,7567
Warren,318,63,626,0,1007
Washington,1790,175,1937,2,3904
Wayne,3689,276,3872,1,7838
Webster,205,60,411,0,676
Wheeler,585,47,632,2,1266
White,4360,408,5479,2,10249
Whitfield,11685,544,7140,18,19387
Wilcox,1019,71,857,0,1947
Wilkes,1122,73,1206,1,2402
Wilkinson,1561,75,636,0,2272
Worth,3187,102,2121,6,5416
