Counties,Election Day Votes Ossoff,Absentee by Mail Votes Ossoff,Advanced Voting Votes Ossoff,Provisional Votes Ossoff,Total Ossoff,Election Day Votes Perdue,Absentee by Mail Votes Perdue,Advanced Voting Votes Perdue,Provisional Votes Perdue,Total Perdue
Appling,390,493,714,1,1598,2363,665,2652,3,5683
Atkinson,259,112,349,0,720,937,132,855,1,1925
Bacon,159,147,253,0,559,834,382,2352,1,3569
Baker,153,210,262,5,630,382,102,325,0,809
Baldwin,1857,2582,4072,4,8515,2409,1036,4485,1,7931
Banks,184,311,336,5,836,2259,730,3603,20,6612
Barrow,2187,3134,3955,0,9276,8290,3005,11494,0,22789
Bartow,2686,3894,4147,8,10735,13325,4311,14588,15,32239
Ben Hill,435,601,1146,0,2182,899,383,2246,3,3531
Berrien,392,293,456,0,1141,2351,553,2633,1,5538
Bibb,10405,12321,16869,122,39717,10786,4027,8901,34,23748
Bleckley,317,386,487,0,1190,1336,466,2118,0,3920
Brantley,170,176,269,0,615,2562,462,2978,1,6003
Brooks,570,954,927,5,2456,1725,369,1652,14,3760
Bryan,1089,1719,3206,6,6020,3953,1101,7528,14,12596
Bulloch,2614,3293,3903,22,9832,8066,2228,5995,22,16311
Burke,1548,1321,1813,4,4686,2316,431,2057,2,4806
Butts,591,836,1577,0,3004,1896,826,4483,0,7205
Calhoun,358,438,406,0,1202,310,108,410,0,828
Camden,1528,2334,2989,5,6856,5678,1552,5779,6,13015
Candler,215,336,583,0,1134,846,273,1662,0,2781
Carroll,4109,4137,6335,9,14590,15420,3488,13642,23,32573
Catoosa,1363,1980,2663,3,6009,7971,2464,11310,12,21757
Charlton,240,238,488,0,966,1344,298,1301,2,2945
Chatham,21170,26678,24331,130,72309,24057,9713,15128,39,48937
Chattahoochee,160,138,307,1,606,329,69,318,0,716
Chattooga,430,583,660,0,1673,2859,774,2922,3,6558
Cherokee,9934,16132,11516,14,37596,40770,16357,33112,37,90276
Clarke,7001,12346,13512,42,32901,4816,3264,5218,13,13311
Clay,221,248,258,1,728,167,100,316,0,583
Clayton,19962,24048,46754,251,91015,3243,2998,5645,21,11907
Clinch,202,111,302,0,615,766,147,926,0,1839
Cobb,47975,85161,67553,320,201009,68635,42406,46459,153,157653
Coffee,1220,673,2161,4,4058,3297,562,5283,12,9154
Colquitt,1114,1010,1587,3,3714,5082,926,4324,7,10339
Columbia,5991,8465,12030,11,26497,17833,5404,22414,16,45667
Cook,541,488,865,0,1894,1523,355,2435,0,4313
Coweta,5580,8847,7089,11,21527,22007,7713,16047,9,45776
Crawford,318,464,704,0,1486,1506,415,1955,3,3879
Crisp,648,726,1307,0,2681,1367,582,2504,1,4454
Dade,293,353,484,1,1131,2228,460,2536,3,5227
Dawson,348,919,961,2,2230,3321,1625,7200,13,12159
Decatur,965,1234,1921,7,4127,2339,638,2933,9,5919
DeKalb,46753,97330,146484,1100,291667,18067,14684,24793,130,57674
Dodge,575,510,925,1,2011,2510,555,2096,4,5165
Dooly,555,435,810,2,1802,699,195,1039,5,1938
Dougherty,6945,6933,8853,14,22745,5085,1776,2481,4,9346
Douglas,7585,12167,20610,36,40398,6183,3712,12061,14,21970
Early,725,599,858,0,2182,974,286,1108,0,2368
Echols,32,15,83,0,130,347,75,633,2,1057
Effingham,2019,2141,2983,4,7147,9374,1779,9526,1,20680
Elbert,536,933,1001,23,2493,2343,700,2438,40,5521
Emanuel,798,700,1049,0,2547,2851,688,2262,6,5807
Evans,282,297,619,0,1198,688,384,1467,0,2539
Fannin,468,1068,842,0,2378,4820,1861,4371,18,11070
Fayette,5439,9432,16056,11,30938,11251,5855,19352,5,36463
Floyd,2853,3494,4320,9,10676,11038,3287,10730,53,25108
Forsyth,6576,12901,17413,46,36936,21538,10770,45881,74,78263
Franklin,359,547,439,0,1345,3288,1125,3435,1,7849
Fulton,61933,89800,195471,3138,350342,39738,22331,75281,1067,138417
Gilmer,506,1192,965,1,2664,5089,1752,5318,4,12163
Glascock,45,42,47,0,134,494,147,589,0,1230
Glynn,2518,4940,6490,28,13976,6934,3318,13183,41,23476
Gordon,1110,1339,1427,5,3881,7762,1937,6764,8,16471
Grady,739,915,1445,0,3099,2705,866,2654,4,6229
Greene,778,1254,1667,4,3703,1428,1016,4473,0,6917
Gwinnett,45876,71464,104488,518,222346,51064,29897,66385,217,147563
Habersham,597,1115,1448,0,3160,3784,2245,8835,7,14871
Hall,5585,7995,8227,76,21883,20116,9537,27334,170,57157
Hancock,638,1078,1053,6,2775,309,188,564,0,1061
Haralson,426,632,552,0,1610,5072,1345,4133,3,10553
Harris,1351,1952,1682,1,4986,6482,1745,5065,5,13297
Hart,655,1057,1156,1,2869,3264,1090,3979,3,8336
Heard,197,272,310,1,780,1861,501,1530,3,3895
Henry,12598,15786,39694,157,68235,13233,5435,22412,65,41145
Houston,6237,11509,11836,26,29608,12863,6746,17137,33,36779
Irwin,253,177,447,0,877,931,265,1543,0,2739
Jackson,1604,2450,2728,3,6785,8757,3372,13657,7,25793
Jasper,355,618,677,4,1654,1910,614,2612,10,5146
Jeff Davis,262,240,445,0,947,1791,393,1954,1,4139
Jefferson,1154,1107,1488,3,3752,1439,324,1408,3,3174
Jenkins,307,358,505,3,1173,694,237,1004,8,1943
Johnson,259,296,489,0,1044,947,250,1332,0,2529
Jones,1042,1631,1843,1,4517,4114,986,3711,4,8815
Lamar,638,822,934,1,2395,2549,606,2418,15,5588
Lanier,235,272,398,0,905,730,194,1203,0,2127
Laurens,2038,2393,2950,8,7389,6567,1813,4468,7,12855
Lee,1074,1107,2044,0,4225,4376,895,5390,4,10665
Liberty,2084,3656,6084,6,11830,2256,894,3335,0,6485
Lincoln,275,541,494,1,1311,1147,329,1429,1,2906
Long,458,444,891,2,1795,1365,185,1285,3,2838
Lowndes,3465,5346,8362,196,17369,8031,2605,11675,153,22464
Lumpkin,417,1086,1317,0,2820,2977,1575,6323,2,10877
Macon,716,625,1323,0,2664,446,96,1057,0,1599
Madison,794,1070,1208,2,3074,4162,1378,4580,5,10125
Marion,237,409,571,0,1217,894,231,873,0,1998
McDuffie,686,1350,1697,0,3733,1586,650,3266,0,5502
McIntosh,476,738,1185,0,2399,1084,562,1891,2,3539
Meriwether,1202,1325,1482,3,4012,2763,736,2332,2,5833
Miller,217,173,260,0,650,575,175,1048,2,1800
Mitchell,826,1140,1574,6,3546,1902,448,1954,5,4309
Monroe,873,1163,1991,0,4027,3903,729,5450,2,10084
Montgomery,282,261,341,0,884,1321,254,1060,0,2635
